image,mask,type,dataset
WildDash2/images/ag0004_100000.jpg,WildDash2/labels/ag0004_100000.png,train,wilddash
WildDash2/images/ag0005_100000.jpg,WildDash2/labels/ag0005_100000.png,train,wilddash
WildDash2/images/ag0006_100000.jpg,WildDash2/labels/ag0006_100000.png,train,wilddash
WildDash2/images/ag0007_100000.jpg,WildDash2/labels/ag0007_100000.png,train,wilddash
WildDash2/images/ag0008_100000.jpg,WildDash2/labels/ag0008_100000.png,train,wilddash
WildDash2/images/ag0009_100000.jpg,WildDash2/labels/ag0009_100000.png,train,wilddash
WildDash2/images/ag0010_100000.jpg,WildDash2/labels/ag0010_100000.png,train,wilddash
WildDash2/images/ag0011_100000.jpg,WildDash2/labels/ag0011_100000.png,train,wilddash
WildDash2/images/ag0012_100000.jpg,WildDash2/labels/ag0012_100000.png,train,wilddash
WildDash2/images/al0000_100000.jpg,WildDash2/labels/al0000_100000.png,train,wilddash
WildDash2/images/al0001_100000.jpg,WildDash2/labels/al0001_100000.png,train,wilddash
WildDash2/images/al0002_100000.jpg,WildDash2/labels/al0002_100000.png,train,wilddash
WildDash2/images/al0003_100000.jpg,WildDash2/labels/al0003_100000.png,train,wilddash
WildDash2/images/al0004_100000.jpg,WildDash2/labels/al0004_100000.png,train,wilddash
WildDash2/images/al0005_100000.jpg,WildDash2/labels/al0005_100000.png,train,wilddash
WildDash2/images/al0006_100000.jpg,WildDash2/labels/al0006_100000.png,train,wilddash
WildDash2/images/al0007_100000.jpg,WildDash2/labels/al0007_100000.png,train,wilddash
WildDash2/images/al0008_100000.jpg,WildDash2/labels/al0008_100000.png,train,wilddash
WildDash2/images/al0009_100000.jpg,WildDash2/labels/al0009_100000.png,train,wilddash
WildDash2/images/al0010_100000.jpg,WildDash2/labels/al0010_100000.png,train,wilddash
WildDash2/images/am0000_100000.jpg,WildDash2/labels/am0000_100000.png,train,wilddash
WildDash2/images/am0001_100000.jpg,WildDash2/labels/am0001_100000.png,train,wilddash
WildDash2/images/am0002_100000.jpg,WildDash2/labels/am0002_100000.png,train,wilddash
WildDash2/images/am0003_100000.jpg,WildDash2/labels/am0003_100000.png,train,wilddash
WildDash2/images/am0004_100000.jpg,WildDash2/labels/am0004_100000.png,train,wilddash
WildDash2/images/am0005_100000.jpg,WildDash2/labels/am0005_100000.png,train,wilddash
WildDash2/images/ar0000_100000.jpg,WildDash2/labels/ar0000_100000.png,train,wilddash
WildDash2/images/ar0001_100000.jpg,WildDash2/labels/ar0001_100000.png,train,wilddash
WildDash2/images/ar0002_100000.jpg,WildDash2/labels/ar0002_100000.png,train,wilddash
WildDash2/images/ar0003_100000.jpg,WildDash2/labels/ar0003_100000.png,train,wilddash
WildDash2/images/ar0004_100000.jpg,WildDash2/labels/ar0004_100000.png,train,wilddash
WildDash2/images/ar0005_100000.jpg,WildDash2/labels/ar0005_100000.png,train,wilddash
WildDash2/images/ar0006_100000.jpg,WildDash2/labels/ar0006_100000.png,train,wilddash
WildDash2/images/ar0007_100000.jpg,WildDash2/labels/ar0007_100000.png,train,wilddash
WildDash2/images/ar0008_100000.jpg,WildDash2/labels/ar0008_100000.png,train,wilddash
WildDash2/images/ar0009_100000.jpg,WildDash2/labels/ar0009_100000.png,train,wilddash
WildDash2/images/ar0010_100000.jpg,WildDash2/labels/ar0010_100000.png,train,wilddash
WildDash2/images/ar0011_100000.jpg,WildDash2/labels/ar0011_100000.png,train,wilddash
WildDash2/images/ar0012_100000.jpg,WildDash2/labels/ar0012_100000.png,train,wilddash
WildDash2/images/ar0013_100000.jpg,WildDash2/labels/ar0013_100000.png,train,wilddash
WildDash2/images/ar0014_100000.jpg,WildDash2/labels/ar0014_100000.png,train,wilddash
WildDash2/images/ar0015_100000.jpg,WildDash2/labels/ar0015_100000.png,train,wilddash
WildDash2/images/ar0016_100000.jpg,WildDash2/labels/ar0016_100000.png,train,wilddash
WildDash2/images/ar0017_100000.jpg,WildDash2/labels/ar0017_100000.png,train,wilddash
WildDash2/images/ar0018_100000.jpg,WildDash2/labels/ar0018_100000.png,train,wilddash
WildDash2/images/ar0019_100000.jpg,WildDash2/labels/ar0019_100000.png,train,wilddash
WildDash2/images/ar0020_100000.jpg,WildDash2/labels/ar0020_100000.png,train,wilddash
WildDash2/images/ar0021_100000.jpg,WildDash2/labels/ar0021_100000.png,train,wilddash
WildDash2/images/ar0022_100000.jpg,WildDash2/labels/ar0022_100000.png,train,wilddash
WildDash2/images/ar0023_100000.jpg,WildDash2/labels/ar0023_100000.png,train,wilddash
WildDash2/images/ar0024_100000.jpg,WildDash2/labels/ar0024_100000.png,train,wilddash
WildDash2/images/ar0025_100000.jpg,WildDash2/labels/ar0025_100000.png,train,wilddash
WildDash2/images/ar0026_100000.jpg,WildDash2/labels/ar0026_100000.png,train,wilddash
WildDash2/images/ar0027_100000.jpg,WildDash2/labels/ar0027_100000.png,train,wilddash
WildDash2/images/ar0028_100000.jpg,WildDash2/labels/ar0028_100000.png,train,wilddash
WildDash2/images/ar0029_100000.jpg,WildDash2/labels/ar0029_100000.png,train,wilddash
WildDash2/images/ar0030_100000.jpg,WildDash2/labels/ar0030_100000.png,train,wilddash
WildDash2/images/ar0031_100000.jpg,WildDash2/labels/ar0031_100000.png,train,wilddash
WildDash2/images/ar0032_100000.jpg,WildDash2/labels/ar0032_100000.png,train,wilddash
WildDash2/images/ar0033_100000.jpg,WildDash2/labels/ar0033_100000.png,train,wilddash
WildDash2/images/ar0034_100000.jpg,WildDash2/labels/ar0034_100000.png,train,wilddash
WildDash2/images/ar0035_100000.jpg,WildDash2/labels/ar0035_100000.png,train,wilddash
WildDash2/images/ar0036_100000.jpg,WildDash2/labels/ar0036_100000.png,train,wilddash
WildDash2/images/ar0037_100000.jpg,WildDash2/labels/ar0037_100000.png,train,wilddash
WildDash2/images/ar0038_100000.jpg,WildDash2/labels/ar0038_100000.png,train,wilddash
WildDash2/images/ar0039_100000.jpg,WildDash2/labels/ar0039_100000.png,train,wilddash
WildDash2/images/ar0040_100000.jpg,WildDash2/labels/ar0040_100000.png,train,wilddash
WildDash2/images/ar0041_100000.jpg,WildDash2/labels/ar0041_100000.png,train,wilddash
WildDash2/images/ar0042_100000.jpg,WildDash2/labels/ar0042_100000.png,train,wilddash
WildDash2/images/ar0043_100000.jpg,WildDash2/labels/ar0043_100000.png,train,wilddash
WildDash2/images/ar0044_100000.jpg,WildDash2/labels/ar0044_100000.png,train,wilddash
WildDash2/images/ar0045_100000.jpg,WildDash2/labels/ar0045_100000.png,train,wilddash
WildDash2/images/ar0046_100000.jpg,WildDash2/labels/ar0046_100000.png,train,wilddash
WildDash2/images/ar0047_100000.jpg,WildDash2/labels/ar0047_100000.png,train,wilddash
WildDash2/images/ar0048_100000.jpg,WildDash2/labels/ar0048_100000.png,train,wilddash
WildDash2/images/ar0049_100000.jpg,WildDash2/labels/ar0049_100000.png,train,wilddash
WildDash2/images/ar0050_100000.jpg,WildDash2/labels/ar0050_100000.png,train,wilddash
WildDash2/images/ar0051_100000.jpg,WildDash2/labels/ar0051_100000.png,train,wilddash
WildDash2/images/ar0052_100000.jpg,WildDash2/labels/ar0052_100000.png,train,wilddash
WildDash2/images/ar0053_100000.jpg,WildDash2/labels/ar0053_100000.png,train,wilddash
WildDash2/images/ar0054_100000.jpg,WildDash2/labels/ar0054_100000.png,train,wilddash
WildDash2/images/ar0055_100000.jpg,WildDash2/labels/ar0055_100000.png,train,wilddash
WildDash2/images/ar0056_100000.jpg,WildDash2/labels/ar0056_100000.png,train,wilddash
WildDash2/images/ar0057_100000.jpg,WildDash2/labels/ar0057_100000.png,train,wilddash
WildDash2/images/ar0058_100000.jpg,WildDash2/labels/ar0058_100000.png,train,wilddash
WildDash2/images/ar0059_100000.jpg,WildDash2/labels/ar0059_100000.png,train,wilddash
WildDash2/images/ar0060_100000.jpg,WildDash2/labels/ar0060_100000.png,train,wilddash
WildDash2/images/ar0061_100000.jpg,WildDash2/labels/ar0061_100000.png,train,wilddash
WildDash2/images/ar0062_100000.jpg,WildDash2/labels/ar0062_100000.png,train,wilddash
WildDash2/images/ar0063_100000.jpg,WildDash2/labels/ar0063_100000.png,train,wilddash
WildDash2/images/ar0064_100000.jpg,WildDash2/labels/ar0064_100000.png,train,wilddash
WildDash2/images/ar0065_100000.jpg,WildDash2/labels/ar0065_100000.png,train,wilddash
WildDash2/images/ar0066_100000.jpg,WildDash2/labels/ar0066_100000.png,train,wilddash
WildDash2/images/as0000_100000.jpg,WildDash2/labels/as0000_100000.png,train,wilddash
WildDash2/images/as0001_100000.jpg,WildDash2/labels/as0001_100000.png,train,wilddash
WildDash2/images/as0002_100000.jpg,WildDash2/labels/as0002_100000.png,train,wilddash
WildDash2/images/as0003_100000.jpg,WildDash2/labels/as0003_100000.png,train,wilddash
WildDash2/images/as0004_100000.jpg,WildDash2/labels/as0004_100000.png,train,wilddash
WildDash2/images/as0005_100000.jpg,WildDash2/labels/as0005_100000.png,train,wilddash
WildDash2/images/as0006_100000.jpg,WildDash2/labels/as0006_100000.png,train,wilddash
WildDash2/images/as0007_100000.jpg,WildDash2/labels/as0007_100000.png,train,wilddash
WildDash2/images/as0008_100000.jpg,WildDash2/labels/as0008_100000.png,train,wilddash
WildDash2/images/as0009_100000.jpg,WildDash2/labels/as0009_100000.png,train,wilddash
WildDash2/images/as0010_100000.jpg,WildDash2/labels/as0010_100000.png,train,wilddash
WildDash2/images/as0011_100000.jpg,WildDash2/labels/as0011_100000.png,train,wilddash
WildDash2/images/as0012_100000.jpg,WildDash2/labels/as0012_100000.png,train,wilddash
WildDash2/images/as0013_100000.jpg,WildDash2/labels/as0013_100000.png,train,wilddash
WildDash2/images/at0000_100000.jpg,WildDash2/labels/at0000_100000.png,train,wilddash
WildDash2/images/at0001_100000.jpg,WildDash2/labels/at0001_100000.png,train,wilddash
WildDash2/images/at0002_100000.jpg,WildDash2/labels/at0002_100000.png,train,wilddash
WildDash2/images/at0003_100000.jpg,WildDash2/labels/at0003_100000.png,train,wilddash
WildDash2/images/at0004_100000.jpg,WildDash2/labels/at0004_100000.png,train,wilddash
WildDash2/images/at0005_100000.jpg,WildDash2/labels/at0005_100000.png,train,wilddash
WildDash2/images/at0006_100000.jpg,WildDash2/labels/at0006_100000.png,train,wilddash
WildDash2/images/at0007_100000.jpg,WildDash2/labels/at0007_100000.png,train,wilddash
WildDash2/images/at0008_100000.jpg,WildDash2/labels/at0008_100000.png,train,wilddash
WildDash2/images/at0009_100000.jpg,WildDash2/labels/at0009_100000.png,train,wilddash
WildDash2/images/at0010_100000.jpg,WildDash2/labels/at0010_100000.png,train,wilddash
WildDash2/images/at0011_100000.jpg,WildDash2/labels/at0011_100000.png,train,wilddash
WildDash2/images/at0012_100000.jpg,WildDash2/labels/at0012_100000.png,train,wilddash
WildDash2/images/at0013_100000.jpg,WildDash2/labels/at0013_100000.png,train,wilddash
WildDash2/images/at0014_100000.jpg,WildDash2/labels/at0014_100000.png,train,wilddash
WildDash2/images/at0015_100000.jpg,WildDash2/labels/at0015_100000.png,train,wilddash
WildDash2/images/at0016_100000.jpg,WildDash2/labels/at0016_100000.png,train,wilddash
WildDash2/images/at0017_100000.jpg,WildDash2/labels/at0017_100000.png,train,wilddash
WildDash2/images/at0018_100000.jpg,WildDash2/labels/at0018_100000.png,train,wilddash
WildDash2/images/at0019_100000.jpg,WildDash2/labels/at0019_100000.png,train,wilddash
WildDash2/images/at0020_100000.jpg,WildDash2/labels/at0020_100000.png,train,wilddash
WildDash2/images/au0000_100000.jpg,WildDash2/labels/au0000_100000.png,train,wilddash
WildDash2/images/au0001_100000.jpg,WildDash2/labels/au0001_100000.png,train,wilddash
WildDash2/images/au0002_100000.jpg,WildDash2/labels/au0002_100000.png,train,wilddash
WildDash2/images/au0003_100000.jpg,WildDash2/labels/au0003_100000.png,train,wilddash
WildDash2/images/au0004_100000.jpg,WildDash2/labels/au0004_100000.png,train,wilddash
WildDash2/images/au0005_100000.jpg,WildDash2/labels/au0005_100000.png,train,wilddash
WildDash2/images/au0006_100000.jpg,WildDash2/labels/au0006_100000.png,train,wilddash
WildDash2/images/au0007_100000.jpg,WildDash2/labels/au0007_100000.png,train,wilddash
WildDash2/images/au0008_100000.jpg,WildDash2/labels/au0008_100000.png,train,wilddash
WildDash2/images/au0009_100000.jpg,WildDash2/labels/au0009_100000.png,train,wilddash
WildDash2/images/au0010_100000.jpg,WildDash2/labels/au0010_100000.png,train,wilddash
WildDash2/images/au0011_100000.jpg,WildDash2/labels/au0011_100000.png,train,wilddash
WildDash2/images/au0012_100000.jpg,WildDash2/labels/au0012_100000.png,train,wilddash
WildDash2/images/au0013_100000.jpg,WildDash2/labels/au0013_100000.png,train,wilddash
WildDash2/images/au0014_100000.jpg,WildDash2/labels/au0014_100000.png,train,wilddash
WildDash2/images/au0015_100000.jpg,WildDash2/labels/au0015_100000.png,train,wilddash
WildDash2/images/au0016_100000.jpg,WildDash2/labels/au0016_100000.png,train,wilddash
WildDash2/images/au0017_100000.jpg,WildDash2/labels/au0017_100000.png,train,wilddash
WildDash2/images/au0018_100000.jpg,WildDash2/labels/au0018_100000.png,train,wilddash
WildDash2/images/au0019_100000.jpg,WildDash2/labels/au0019_100000.png,train,wilddash
WildDash2/images/au0020_100000.jpg,WildDash2/labels/au0020_100000.png,train,wilddash
WildDash2/images/au0021_100000.jpg,WildDash2/labels/au0021_100000.png,train,wilddash
WildDash2/images/au0022_100000.jpg,WildDash2/labels/au0022_100000.png,train,wilddash
WildDash2/images/au0023_100000.jpg,WildDash2/labels/au0023_100000.png,train,wilddash
WildDash2/images/au0024_100000.jpg,WildDash2/labels/au0024_100000.png,train,wilddash
WildDash2/images/au0025_100000.jpg,WildDash2/labels/au0025_100000.png,train,wilddash
WildDash2/images/au0026_100000.jpg,WildDash2/labels/au0026_100000.png,train,wilddash
WildDash2/images/au0027_100000.jpg,WildDash2/labels/au0027_100000.png,train,wilddash
WildDash2/images/au0028_100000.jpg,WildDash2/labels/au0028_100000.png,train,wilddash
WildDash2/images/au0029_100000.jpg,WildDash2/labels/au0029_100000.png,train,wilddash
WildDash2/images/au0030_100000.jpg,WildDash2/labels/au0030_100000.png,train,wilddash
WildDash2/images/au0031_100000.jpg,WildDash2/labels/au0031_100000.png,train,wilddash
WildDash2/images/au0032_100000.jpg,WildDash2/labels/au0032_100000.png,train,wilddash
WildDash2/images/au0033_100000.jpg,WildDash2/labels/au0033_100000.png,train,wilddash
WildDash2/images/au0034_100000.jpg,WildDash2/labels/au0034_100000.png,train,wilddash
WildDash2/images/au0035_100000.jpg,WildDash2/labels/au0035_100000.png,train,wilddash
WildDash2/images/au0036_100000.jpg,WildDash2/labels/au0036_100000.png,train,wilddash
WildDash2/images/au0037_100000.jpg,WildDash2/labels/au0037_100000.png,train,wilddash
WildDash2/images/au0038_100000.jpg,WildDash2/labels/au0038_100000.png,train,wilddash
WildDash2/images/au0039_100000.jpg,WildDash2/labels/au0039_100000.png,train,wilddash
WildDash2/images/au0040_100000.jpg,WildDash2/labels/au0040_100000.png,train,wilddash
WildDash2/images/au0041_100000.jpg,WildDash2/labels/au0041_100000.png,train,wilddash
WildDash2/images/au0042_100000.jpg,WildDash2/labels/au0042_100000.png,train,wilddash
WildDash2/images/au0043_100000.jpg,WildDash2/labels/au0043_100000.png,train,wilddash
WildDash2/images/ax0000_100000.jpg,WildDash2/labels/ax0000_100000.png,train,wilddash
WildDash2/images/az0000_100000.jpg,WildDash2/labels/az0000_100000.png,train,wilddash
WildDash2/images/az0001_100000.jpg,WildDash2/labels/az0001_100000.png,train,wilddash
WildDash2/images/az0002_100000.jpg,WildDash2/labels/az0002_100000.png,train,wilddash
WildDash2/images/az0003_100000.jpg,WildDash2/labels/az0003_100000.png,train,wilddash
WildDash2/images/az0004_100000.jpg,WildDash2/labels/az0004_100000.png,train,wilddash
WildDash2/images/az0005_100000.jpg,WildDash2/labels/az0005_100000.png,train,wilddash
WildDash2/images/az0006_100000.jpg,WildDash2/labels/az0006_100000.png,train,wilddash
WildDash2/images/az0007_100000.jpg,WildDash2/labels/az0007_100000.png,train,wilddash
WildDash2/images/az0008_100000.jpg,WildDash2/labels/az0008_100000.png,train,wilddash
WildDash2/images/az0009_100000.jpg,WildDash2/labels/az0009_100000.png,train,wilddash
WildDash2/images/az0010_100000.jpg,WildDash2/labels/az0010_100000.png,train,wilddash
WildDash2/images/az0011_100000.jpg,WildDash2/labels/az0011_100000.png,train,wilddash
WildDash2/images/bb0000_100000.jpg,WildDash2/labels/bb0000_100000.png,train,wilddash
WildDash2/images/bb0001_100000.jpg,WildDash2/labels/bb0001_100000.png,train,wilddash
WildDash2/images/bb0002_100000.jpg,WildDash2/labels/bb0002_100000.png,train,wilddash
WildDash2/images/bb0003_100000.jpg,WildDash2/labels/bb0003_100000.png,train,wilddash
WildDash2/images/bb0004_100000.jpg,WildDash2/labels/bb0004_100000.png,train,wilddash
WildDash2/images/bb0005_100000.jpg,WildDash2/labels/bb0005_100000.png,train,wilddash
WildDash2/images/bb0006_100000.jpg,WildDash2/labels/bb0006_100000.png,train,wilddash
WildDash2/images/bb0007_100000.jpg,WildDash2/labels/bb0007_100000.png,train,wilddash
WildDash2/images/bb0008_100000.jpg,WildDash2/labels/bb0008_100000.png,train,wilddash
WildDash2/images/bd0000_100000.jpg,WildDash2/labels/bd0000_100000.png,train,wilddash
WildDash2/images/bd0001_100000.jpg,WildDash2/labels/bd0001_100000.png,train,wilddash
WildDash2/images/bd0002_100000.jpg,WildDash2/labels/bd0002_100000.png,train,wilddash
WildDash2/images/bd0003_100000.jpg,WildDash2/labels/bd0003_100000.png,train,wilddash
WildDash2/images/bd0004_100000.jpg,WildDash2/labels/bd0004_100000.png,train,wilddash
WildDash2/images/bd0005_100000.jpg,WildDash2/labels/bd0005_100000.png,train,wilddash
WildDash2/images/bd0006_100000.jpg,WildDash2/labels/bd0006_100000.png,train,wilddash
WildDash2/images/bd0007_100000.jpg,WildDash2/labels/bd0007_100000.png,train,wilddash
WildDash2/images/bd0008_100000.jpg,WildDash2/labels/bd0008_100000.png,train,wilddash
WildDash2/images/bd0009_100000.jpg,WildDash2/labels/bd0009_100000.png,train,wilddash
WildDash2/images/bd0010_100000.jpg,WildDash2/labels/bd0010_100000.png,train,wilddash
WildDash2/images/bd0011_100000.jpg,WildDash2/labels/bd0011_100000.png,train,wilddash
WildDash2/images/bd0012_100000.jpg,WildDash2/labels/bd0012_100000.png,train,wilddash
WildDash2/images/bd0013_100000.jpg,WildDash2/labels/bd0013_100000.png,train,wilddash
WildDash2/images/bd0014_100000.jpg,WildDash2/labels/bd0014_100000.png,train,wilddash
WildDash2/images/bd0015_100000.jpg,WildDash2/labels/bd0015_100000.png,train,wilddash
WildDash2/images/be0000_100000.jpg,WildDash2/labels/be0000_100000.png,train,wilddash
WildDash2/images/be0001_100000.jpg,WildDash2/labels/be0001_100000.png,train,wilddash
WildDash2/images/be0002_100000.jpg,WildDash2/labels/be0002_100000.png,train,wilddash
WildDash2/images/be0003_100000.jpg,WildDash2/labels/be0003_100000.png,train,wilddash
WildDash2/images/be0004_100000.jpg,WildDash2/labels/be0004_100000.png,train,wilddash
WildDash2/images/be0005_100000.jpg,WildDash2/labels/be0005_100000.png,train,wilddash
WildDash2/images/be0006_100000.jpg,WildDash2/labels/be0006_100000.png,train,wilddash
WildDash2/images/be0007_100000.jpg,WildDash2/labels/be0007_100000.png,train,wilddash
WildDash2/images/be0008_100000.jpg,WildDash2/labels/be0008_100000.png,train,wilddash
WildDash2/images/be0009_100000.jpg,WildDash2/labels/be0009_100000.png,train,wilddash
WildDash2/images/be0010_100000.jpg,WildDash2/labels/be0010_100000.png,train,wilddash
WildDash2/images/be0011_100000.jpg,WildDash2/labels/be0011_100000.png,train,wilddash
WildDash2/images/be0012_100000.jpg,WildDash2/labels/be0012_100000.png,train,wilddash
WildDash2/images/be0013_100000.jpg,WildDash2/labels/be0013_100000.png,train,wilddash
WildDash2/images/be0014_100000.jpg,WildDash2/labels/be0014_100000.png,train,wilddash
WildDash2/images/be0015_100000.jpg,WildDash2/labels/be0015_100000.png,train,wilddash
WildDash2/images/bf0000_100000.jpg,WildDash2/labels/bf0000_100000.png,train,wilddash
WildDash2/images/bf0001_100000.jpg,WildDash2/labels/bf0001_100000.png,train,wilddash
WildDash2/images/bf0002_100000.jpg,WildDash2/labels/bf0002_100000.png,train,wilddash
WildDash2/images/bf0003_100000.jpg,WildDash2/labels/bf0003_100000.png,train,wilddash
WildDash2/images/bg0000_100000.jpg,WildDash2/labels/bg0000_100000.png,train,wilddash
WildDash2/images/bg0001_100000.jpg,WildDash2/labels/bg0001_100000.png,train,wilddash
WildDash2/images/bg0002_100000.jpg,WildDash2/labels/bg0002_100000.png,train,wilddash
WildDash2/images/bg0003_100000.jpg,WildDash2/labels/bg0003_100000.png,train,wilddash
WildDash2/images/bg0004_100000.jpg,WildDash2/labels/bg0004_100000.png,train,wilddash
WildDash2/images/bg0005_100000.jpg,WildDash2/labels/bg0005_100000.png,train,wilddash
WildDash2/images/bg0006_100000.jpg,WildDash2/labels/bg0006_100000.png,train,wilddash
WildDash2/images/bg0007_100000.jpg,WildDash2/labels/bg0007_100000.png,train,wilddash
WildDash2/images/bg0008_100000.jpg,WildDash2/labels/bg0008_100000.png,train,wilddash
WildDash2/images/bg0009_100000.jpg,WildDash2/labels/bg0009_100000.png,train,wilddash
WildDash2/images/bg0010_100000.jpg,WildDash2/labels/bg0010_100000.png,train,wilddash
WildDash2/images/bg0011_100000.jpg,WildDash2/labels/bg0011_100000.png,train,wilddash
WildDash2/images/bg0012_100000.jpg,WildDash2/labels/bg0012_100000.png,train,wilddash
WildDash2/images/bg0013_100000.jpg,WildDash2/labels/bg0013_100000.png,train,wilddash
WildDash2/images/bh0000_100000.jpg,WildDash2/labels/bh0000_100000.png,train,wilddash
WildDash2/images/bh0001_100000.jpg,WildDash2/labels/bh0001_100000.png,train,wilddash
WildDash2/images/bh0002_100000.jpg,WildDash2/labels/bh0002_100000.png,train,wilddash
WildDash2/images/bh0003_100000.jpg,WildDash2/labels/bh0003_100000.png,train,wilddash
WildDash2/images/bh0004_100000.jpg,WildDash2/labels/bh0004_100000.png,train,wilddash
WildDash2/images/bh0005_100000.jpg,WildDash2/labels/bh0005_100000.png,train,wilddash
WildDash2/images/bh0006_100000.jpg,WildDash2/labels/bh0006_100000.png,train,wilddash
WildDash2/images/bh0007_100000.jpg,WildDash2/labels/bh0007_100000.png,train,wilddash
WildDash2/images/bh0008_100000.jpg,WildDash2/labels/bh0008_100000.png,train,wilddash
WildDash2/images/bh0009_100000.jpg,WildDash2/labels/bh0009_100000.png,train,wilddash
WildDash2/images/bh0010_100000.jpg,WildDash2/labels/bh0010_100000.png,train,wilddash
WildDash2/images/bh0011_100000.jpg,WildDash2/labels/bh0011_100000.png,train,wilddash
WildDash2/images/bh0012_100000.jpg,WildDash2/labels/bh0012_100000.png,train,wilddash
WildDash2/images/bh0013_100000.jpg,WildDash2/labels/bh0013_100000.png,train,wilddash
WildDash2/images/bh0014_100000.jpg,WildDash2/labels/bh0014_100000.png,train,wilddash
WildDash2/images/bh0015_100000.jpg,WildDash2/labels/bh0015_100000.png,train,wilddash
WildDash2/images/bh0016_100000.jpg,WildDash2/labels/bh0016_100000.png,train,wilddash
WildDash2/images/bh0017_100000.jpg,WildDash2/labels/bh0017_100000.png,train,wilddash
WildDash2/images/bh0018_100000.jpg,WildDash2/labels/bh0018_100000.png,train,wilddash
WildDash2/images/bh0019_100000.jpg,WildDash2/labels/bh0019_100000.png,train,wilddash
WildDash2/images/bh0020_100000.jpg,WildDash2/labels/bh0020_100000.png,train,wilddash
WildDash2/images/bh0021_100000.jpg,WildDash2/labels/bh0021_100000.png,train,wilddash
WildDash2/images/bh0022_100000.jpg,WildDash2/labels/bh0022_100000.png,train,wilddash
WildDash2/images/bh0023_100000.jpg,WildDash2/labels/bh0023_100000.png,train,wilddash
WildDash2/images/bh0024_100000.jpg,WildDash2/labels/bh0024_100000.png,train,wilddash
WildDash2/images/bh0025_100000.jpg,WildDash2/labels/bh0025_100000.png,train,wilddash
WildDash2/images/bh0026_100000.jpg,WildDash2/labels/bh0026_100000.png,train,wilddash
WildDash2/images/bh0027_100000.jpg,WildDash2/labels/bh0027_100000.png,train,wilddash
WildDash2/images/bh0028_100000.jpg,WildDash2/labels/bh0028_100000.png,train,wilddash
WildDash2/images/bi0000_100000.jpg,WildDash2/labels/bi0000_100000.png,train,wilddash
WildDash2/images/bi0001_100000.jpg,WildDash2/labels/bi0001_100000.png,train,wilddash
WildDash2/images/bi0002_100000.jpg,WildDash2/labels/bi0002_100000.png,train,wilddash
WildDash2/images/bi0003_100000.jpg,WildDash2/labels/bi0003_100000.png,train,wilddash
WildDash2/images/bj0000_100000.jpg,WildDash2/labels/bj0000_100000.png,train,wilddash
